NoLink,Provinsi,KotaKab,Link,TipeFaskes,No,KodeFaskes,NamaFaskes,LatLongFaskes,AlamatFaskes,TelpFaskes
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Puskesmas,15,10070703,"Cipeucang
                    
                        

","http://maps.google.co.id/?q=-6.371137,106.022874",Jl. Raya Labuan Km.13 Palanyar,"
 087773376135
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Puskesmas,16,10070801,"Bojong
                    
                        

","http://maps.google.co.id/?q=-6.473,106.0",Jl Raya Malingping Km 10,"
 0253-580678
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Puskesmas,17,10070901,"Munjul
                    
                        

","http://maps.google.co.id/?q=-6.606714,105.906269",Jl.Raya Kotadukuh Km.01 No.02 ,"
 0253-803655
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Puskesmas,18,10071001,"Labuan
                    
                        

","http://maps.google.co.id/?q=-6.395,105.944",Jl. Jend Sudirman Kp Karabohon,"
 0253801009
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Puskesmas,19,10071101,"Pagelaran
                    
                        

","http://maps.google.co.id/?q=-6.4224514,105.8642593",Jl. Raya Pagelaran No.02,"
 0253802262
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Puskesmas,20,10071201,"Jiput
                    
                        

","http://maps.google.co.id/?q=-6.318846,105.8877494",Jl. Raya Mandalawangi Jiput,"
 0253501588
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Puskesmas,21,10071301,"Cibaliung
                    
                        

","http://maps.google.co.id/?q=-6.709829,105.696814",Jl. Raya Sumur Km 01 Desa Suka,"
 0253803726
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Puskesmas,22,10071401,"Cimanggu
                    
                        

","http://maps.google.co.id/?q=-6.710053,105.692952",Jl. Sumur - Cibaliung ,"
 081115225
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Puskesmas,23,10071501,"Cigeulis
                    
                        

","http://maps.google.co.id/?q=-6.669759,105.699284",Jl. Raya Cibaliung Cigeulis,"
 0253802580
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Puskesmas,24,10071601,"Cikeusik
                    
                        

","http://maps.google.co.id/?q=-6.728612,105.871791",Jl. Alun-Alun Selatan No 4,"
 0253803802
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Puskesmas,25,10071701,"Panimbang
                    
                        

","http://maps.google.co.id/?q=-6.493222,105.796688",Jl. Raya Tanjung Lesung Km. I ,"
 0253802146
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Puskesmas,26,10071801,"Sumur
                    
                        

","http://maps.google.co.id/?q=-6.778916,105.3833808",Jl. Teluk No. 7,"
 0253803755
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Puskesmas,27,10071901,"Sobang
                    
                        

","http://maps.google.co.id/?q=-6.559391,105.757483",Jl. Raya Pasar Sobang Km.I ,"
 0253-5808548
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Puskesmas,28,10072001,"Carita
                    
                        

","http://maps.google.co.id/?q=-6.179,105.844",Jl. Raya Carita - Labuan Km. 6,"
 0253-802354
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Puskesmas,29,10072002,"Kaduhejo
                    
                        

","http://maps.google.co.id/?q=-6.331206,106.063329",Jl. Raya Labuan Km.6,"
 0253-202702
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Puskesmas,30,10072003,"Perdana
                    
                        

","http://maps.google.co.id/?q=-6.527738,105.840637",Kp. Pasar Keramat,"
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Puskesmas,31,10072004,"Cikedal
                    
                        

","http://maps.google.co.id/?q=-6.391501,105.870132",Jl. Raya Bojong Canar - Cening,"
 081316521606
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Puskesmas,32,10072005,"Angsana
                    
                        

","http://maps.google.co.id/?q=-6.593,105.877",Jl. Raya Panimbang Munjul Km.6,"
 087772873947
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Puskesmas,33,10072006,"Cisata
                    
                        

","http://maps.google.co.id/?q=-6.393402,105.944987",Jl. Raya Labuan Km. 24,"
 087877122447
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Puskesmas,34,10072008,"Patia
                    
                        

","http://maps.google.co.id/?q=-6.495773,105.855861",Kp. Sanggoma Desa Patia,"
 08170833855
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Puskesmas,35,10072009,"Mekarjaya
                    
                        

","http://maps.google.co.id/?q=-6.3951587,106.0757749",Jl. Sarakole Km. 20,"
 085289835379
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Puskesmas,36,10072010,"Sindang Resmi
                    
                        

","http://maps.google.co.id/?q=-6.5446168,105.9112424",Jl. Campakawarna Km.05,"
 628-0856940103
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Dokter Praktik Perorangan,-,-,-,-,-,-
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Dokter Gigi,-,-,-,-,-,-
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Klinik Utama,-,-,-,-,-,-
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Klinik Pratama,1,02190006,"Klinik Polres Pandeglang
                    
                        

","http://maps.google.co.id/?q=-6.309694,106.10392",Jl. Bhayangkara No. 7,"
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Klinik Pratama,2,02190007,"Klinik Spn Mandalawangi Banten
                    
                        

","http://maps.google.co.id/?q=-6.295093,106.012446",Jl. Bhayangkara 1 Mandlawangi,"
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Klinik Pratama,3,0219B002,"Klinik Al-Furqon
                    
                        

","http://maps.google.co.id/?q=-6.390186,105.8404",Jl. Raya Labuan Km.2 Tarogong,"
 02535808100
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Klinik Pratama,4,0219B004,"Klinik Medika Pratama
                    
                        

","http://maps.google.co.id/?q=-6.725922,105.758891",Jl. Raya Sumur,"
 087772723636
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Klinik Pratama,5,0219B007,"Klinik Mulyajati
                    
                ",-,Jalan Lintas Timur Amd Cikole,"
 0253-5553670
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Klinik Pratama,6,0219B008,"Klinik Dr.H. Agus Santoso
                    
                ",-,Jln Amd Lintas Timur N0 50,"
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Klinik Pratama,7,0219B009,"Klinik Bougenville Ciekek
                    
                ",-,Jl. Raya Labuan Km 01 Ciekek ,"
 0253-205911
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Klinik Pratama,8,0219U005,"Klinik Bougenville
                    
                        

","http://maps.google.co.id/?q=-6.284875,106.118052",Jl Komp.Bougenville Blok B,"
 08128155216
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Klinik Pratama,9,0219U006,"Klinik Difa
                    
                        

","http://maps.google.co.id/?q=-6.392006,105.928017",Jl Raya Labuan Km 12 Ciputri,"
 0253502161
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Klinik Pratama,10,0219U007,"Klinik Alinda Husada
                    
                        

","http://maps.google.co.id/?q=-6.497216,105.793085",Jl. Raya Tanjung Lesum Km.1,"
 0253-5806781
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Klinik Pratama,11,0219U014,"Klinik Paniis
                    
                        

","http://maps.google.co.id/?q=-6.288244,106.135285",Jl. Raya Nanggor No.46,"
 0253205790
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Klinik Pratama,12,0219U021,"Klinik Yasmin
                    
                        

","http://maps.google.co.id/?q=-6.329173,106.082795",Jl. Raya Labuan Km 4 No.12,"
 085959474645
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Klinik Pratama,13,02220005,"Polkes Yonif 320/Bp
                    
                        

","http://maps.google.co.id/?q=-6.262962,106.117482",Jl.Serang Pandeglang ,"
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Apotek,1,0219A004,"Apotik Difa
                    
                        

","http://maps.google.co.id/?q=-6.392006,105.928017",Raya Labuan Km12,"
 0253502161
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Apotek,2,0219A005,"Apotik Bougenvile
                    
                        

","http://maps.google.co.id/?q=-6.317843,106.100067",Jl.Kompl. Bougenvile Blok B,"
 0253202746
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Apotek,3,0219A006,"If Rsu Pandeglang
                    
                ",-,Jl. Raya Labuan KM 5,"
 0253-202077
"
258,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di
            Kab. Pandeglang",https://lovia.life/id/health/bpjs/area/kab-pandeglang,Apotek,4,0219A007,"Apotek Al Furqon
                    
                ",-,Jl. Raya Labuan Km 2 Tarogong,"
 02535808100
"
259,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di Kab.
            Lebak",https://lovia.life/id/health/bpjs/area/kab-lebak,Rumah Sakit,1,0220R004,"RS Misi Lebak
                    
                        

","http://maps.google.co.id/?q=-6.354168,106.247084",Jalan Multatuli No.41,"
 0252-201014
"
259,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di Kab.
            Lebak",https://lovia.life/id/health/bpjs/area/kab-lebak,Rumah Sakit,2,0220R005,"Rumah Sakit Kartini
                    
                ",-,Sunan Kalijaga No 325 Blok Pap,"
 0252-209333
"
259,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di Kab.
            Lebak",https://lovia.life/id/health/bpjs/area/kab-lebak,Rumah Sakit,3,1008R001,"RSU Lebak
                    
                        

","http://maps.google.co.id/?q=-6.320543,106.591251",Jl. Iko Jatmiko No. 1 ,"
 0252-201313
"
259,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di Kab.
            Lebak",https://lovia.life/id/health/bpjs/area/kab-lebak,Rumah Sakit,4,1008R003,"RSU Malingping
                    
                        

","http://maps.google.co.id/?q=-6.776568,106.01171","Jl Raya Malimping Saketi, Mali","
 0252-552716
"
259,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di Kab.
            Lebak",https://lovia.life/id/health/bpjs/area/kab-lebak,Puskesmas,1,02200006,"Cigemblong
                    
                        

","http://maps.google.co.id/?q=-6.742979,106.169814",Cigemblong,"
 085777003095
"
259,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di Kab.
            Lebak",https://lovia.life/id/health/bpjs/area/kab-lebak,Puskesmas,2,02200916,"Parung Sari
                    
                        

","http://maps.google.co.id/?q=-6.393916,106.312407","Ds. Parung Sari, Kec. Wanasala","
 087772352730
"
259,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di Kab.
            Lebak",https://lovia.life/id/health/bpjs/area/kab-lebak,Puskesmas,3,02200917,"Prabugantungan
                    
                        

","http://maps.google.co.id/?q=-6.419227,106.059879",Jl.Ry Sampay-Gn. Kencana Km 25,"
 P3602070102
"
259,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di Kab.
            Lebak",https://lovia.life/id/health/bpjs/area/kab-lebak,Puskesmas,4,02200918,"Pajagan
                    
                        

","http://maps.google.co.id/?q=-6.412092,106.320266",Jl. Jenderal Sudirman Km13 ,"
 P3602130202
"
259,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di Kab.
            Lebak",https://lovia.life/id/health/bpjs/area/kab-lebak,Puskesmas,5,02200919,"Mandala
                    
                        

","http://maps.google.co.id/?q=-6.350938,106.230614","Jl. Maulana Hasanudin, Ds. Kad","
 0252-5558655
"
259,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di Kab.
            Lebak",https://lovia.life/id/health/bpjs/area/kab-lebak,Puskesmas,6,02200920,"Kolelet
                    
                        

","http://maps.google.co.id/?q=-6.30452,106.27138",Jl. Raya Pamarayan  Km 6,"
 P3602180203
"
259,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di Kab.
            Lebak",https://lovia.life/id/health/bpjs/area/kab-lebak,Puskesmas,7,02200921,"Pamandegan
                    
                        

","http://maps.google.co.id/?q=-6.403625,106.174661",Jl. Raya Kadu Agung-Cileles Km,"
"
259,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di Kab.
            Lebak",https://lovia.life/id/health/bpjs/area/kab-lebak,Puskesmas,8,02200922,"Cipeundeuy
                    
                        

","http://maps.google.co.id/?q=-6.731944,105.976494",Jl. Malingping-Saketi Km. 9,"
 0252-201312
"
259,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di Kab.
            Lebak",https://lovia.life/id/health/bpjs/area/kab-lebak,Puskesmas,9,02208000,"Citorek
                    
                        

","http://maps.google.co.id/?q=-6.700605,106.334616",Jl. Raya Cibengkung Km 1,"
 08179157760
"
259,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di Kab.
            Lebak",https://lovia.life/id/health/bpjs/area/kab-lebak,Puskesmas,10,10080101,"Rangkasbitung
                    
                        

","http://maps.google.co.id/?q=-6.344826,106.265584",Jl Beringin Cisalam Komp Pemda,"
 0253-580678
"
259,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di Kab.
            Lebak",https://lovia.life/id/health/bpjs/area/kab-lebak,Puskesmas,11,10080103,"Mekarsari
                    
                        

","http://maps.google.co.id/?q=-6.33963,106.335685",Jl. Raya Cikande,"
 08121895245
"
259,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di Kab.
            Lebak",https://lovia.life/id/health/bpjs/area/kab-lebak,Puskesmas,12,10080117,"Cibadak
                    
                        

","http://maps.google.co.id/?q=-6.331327,106.235158",Kp Cimenteng Jaya,"
 0252-5552253
"
259,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di Kab.
            Lebak",https://lovia.life/id/health/bpjs/area/kab-lebak,Puskesmas,13,10080123,"Kalanganyar
                    
                        

","http://maps.google.co.id/?q=-6.4963,106.198329",Jl. Raya Cimarga,"
 025220230
"
259,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di Kab.
            Lebak",https://lovia.life/id/health/bpjs/area/kab-lebak,Puskesmas,14,10080202,"Warung Gunung
                    
                        

","http://maps.google.co.id/?q=-6.337061,106.191467",Jl. Raya Pandeglang Km 8.5,"
 0252-802244
"
259,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di Kab.
            Lebak",https://lovia.life/id/health/bpjs/area/kab-lebak,Puskesmas,15,10080219,"Cikulur
                    
                        

","http://maps.google.co.id/?q=-6.370623,106.154199",Jl.Raya Sampay-Cileles Km.04 ,"
 0253-580678
"
259,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di Kab.
            Lebak",https://lovia.life/id/health/bpjs/area/kab-lebak,Puskesmas,16,10080226,"Baros
                    
                        

","http://maps.google.co.id/?q=-6.329012,106.1438",Jl. Raya Pandeglang Km 14,"
 0252-203534
"
259,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di Kab.
            Lebak",https://lovia.life/id/health/bpjs/area/kab-lebak,Puskesmas,17,10080309,"Maja
                    
                        

","http://maps.google.co.id/?q=-6.3319,106.398124",Jl. Raya Maja Pasar No 1,"
 0252-204247
"
259,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di Kab.
            Lebak",https://lovia.life/id/health/bpjs/area/kab-lebak,Puskesmas,18,10080325,"Curugbitung
                    
                        

","http://maps.google.co.id/?q=-6.446712,106.413503",Kp.Ciseungit Ds. Candi,"
 0252-085886130
"
259,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di Kab.
            Lebak",https://lovia.life/id/health/bpjs/area/kab-lebak,Puskesmas,19,10080410,"Sajira
                    
                ",-,Kp. Sadang,"
 0253-205850
"
259,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di Kab.
            Lebak",https://lovia.life/id/health/bpjs/area/kab-lebak,Puskesmas,20,10080511,"Cipanas
                    
                ",-,Jl. Raya Gajrug-Muncang Km. 1,"
 0252-204424
"
259,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di Kab.
            Lebak",https://lovia.life/id/health/bpjs/area/kab-lebak,Puskesmas,21,10080512,"Lebak Gedong
                    
                        

","http://maps.google.co.id/?q=-6.569057,106.412041",Jl. Ry Cipanas Wr Banten Km 03,"
 08561519618
"
259,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di Kab.
            Lebak",https://lovia.life/id/health/bpjs/area/kab-lebak,Puskesmas,22,10080613,"Leuwidamar
                    
                        

","http://maps.google.co.id/?q=-6.503268,106.195174",Jl. Raya Leuwidamar,"
 0252-301017
"
259,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di Kab.
            Lebak",https://lovia.life/id/health/bpjs/area/kab-lebak,Puskesmas,23,10080614,"Cisimeut
                    
                        

","http://maps.google.co.id/?q=-6.593193,106.223735",Kp. Ciboleger,"
 0252-205826
"
259,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di Kab.
            Lebak",https://lovia.life/id/health/bpjs/area/kab-lebak,Puskesmas,24,10080715,"Muncang
                    
                ",-,Pasar Ciminyak,"
 081510842884
"
259,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di Kab.
            Lebak",https://lovia.life/id/health/bpjs/area/kab-lebak,Puskesmas,25,10080721,"Sobang
                    
                ",-,Ds Sindang Laya,"
 0856-93901111
"
259,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di Kab.
            Lebak",https://lovia.life/id/health/bpjs/area/kab-lebak,Puskesmas,26,10080812,"Cimarga
                    
                ",-,Jl Raya Leuwidamar Km 09,"
 0252-5550812
"
259,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di Kab.
            Lebak",https://lovia.life/id/health/bpjs/area/kab-lebak,Puskesmas,27,10080813,"Sarageni
                    
                ",-,Jl Raya Cileles Ds. Inten Jaya,"
 0252-550494
"
259,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di Kab.
            Lebak",https://lovia.life/id/health/bpjs/area/kab-lebak,Puskesmas,28,10080914,"Bojongmanik
                    
                ",-,Bojongmanik,"
"
259,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di Kab.
            Lebak",https://lovia.life/id/health/bpjs/area/kab-lebak,Puskesmas,29,10080915,"Cirinteun
                    
                ",-,Jl. Raya Parigi Km 01,"
 0815-1011-5858
"
259,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di Kab.
            Lebak",https://lovia.life/id/health/bpjs/area/kab-lebak,Puskesmas,30,10081004,"Gunung Kencana
                    
                ",-,Kp. Gunungbilul,"
"
259,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di Kab.
            Lebak",https://lovia.life/id/health/bpjs/area/kab-lebak,Puskesmas,31,10081105,"Banjarsari
                    
                ",-,Jl. Raya Malingping Km. 23,"
"
259,Banten,"Kode Faskes dan Alamat Rumah Sakit BPJS di Kab.
            Lebak",https://lovia.life/id/health/bpjs/area/kab-lebak,Puskesmas,32,10081106,"Bojong Juruh
                    
                ",-,Jl. Raya Malingping Km 17 Pasa,"
 087877222902
"
